Symbol,Name,Price (Intraday)
PHG.BA,Koninklijke Philips N.V.,"6,823.00"
BBD.BA,Banco Bradesco S.A.,"3,038.00"
LVS.BA,Las Vegas Sands Corp.,"29,885.00"
AEM.BA,Agnico Eagle Mines Limited,"14,772.50"
GRMN.BA,Garmin Ltd.,"73,190.00"
BIDU.BA,"Baidu, Inc.","10,661.00"
BRFS.BA,BRF S.A.,"16,555.50"
EBAY.BA,eBay Inc.,"36,412.50"
ERJ.BA,Embraer S.A.,"34,814.50"
CAH.BA,"Cardinal Health, Inc.","44,361.50"
SBS.BA,Companhia de Saneamento B�sico do Estado de S�o Paulo - SABESP,"36,210.50"
IFF.BA,International Flavors & Fragrances Inc.,"10,691.00"
BNG.BA,Bunge Global SA,"28,883.50"
NMR.BA,"Nomura Holdings, Inc.","7,772.00"
ERIC.BA,Telefonaktiebolaget LM Ericsson (publ),"4,160.00"
FSLR.BA,"First Solar, Inc.","17,005.50"
KB.BA,KB Financial Group Inc.,"37,607.50"
GOLD.BA,Barrick Gold Corporation,"11,281.00"
EBR.BA,Centrais El�tricas Brasileiras S.A. - Eletrobr�s,"34,936.00"
VRSN.BA,"VeriSign, Inc.","40,105.00"
VIV.BA,Telef�nica Brasil S.A.,"11,123.50"
GFI.BA,Gold Fields Limited,"20,246.50"
SUZ.BA,Suzano S.A.,"13,874.50"
AVY.BA,Avery Dennison Corporation,"16,526.00"
BSBR.BA,Banco Santander (Brasil) S.A.,"6,728.00"
FMX.BA,"Fomento Econ�mico Mexicano, S.A.B. de C.V.","23,798.00"
IP.BA,International Paper Company,"14,545.00"
CELU.BA,Celulosa Argentina S.A.,"1,497.00"
AEG.BA,Aegon Ltd.,"8,262.00"
KGC.BA,Kinross Gold Corporation,"11,225.00"
SNA.BA,Snap-on Incorporated,"58,717.50"
KEP.BA,Korea Electric Power Corporation,"9,600.00"
ANF.BA,Abercrombie & Fitch Co.,"238,769.00"
AMD.BA,"Advanced Micro Devices, Inc.","21,988.00"
YPFD.BA,YPF Sociedad An�nima,"27,238.55"
X.BA,United States Steel Corporation,"17,053.00"
ASR.BA,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.","20,390.50"
HMY.BA,Harmony Gold Mining Company Limited,"12,396.00"
PAAS.BA,Pan American Silver Corp.,"8,959.50"
NG.BA,NovaGold Resources Inc.,"19,136.00"
TXR.BA,Ternium S.A.,"12,728.00"
PAC.BA,"Grupo Aeroportuario del Pac�fico, S.A.B. de C.V.","13,306.50"
GGAL.BA,Grupo Financiero Galicia S.A.,"4,135.05"
UGP.BA,Ultrapar Participa��es S.A.,"5,292.50"
ARCO.BA,Arcos Dorados Holdings Inc.,"24,306.00"
CAR.BA,"Avis Budget Group, Inc.","5,447.00"
BMA.BA,Banco Macro S.A.,"7,641.35"
TXAR.BA,Ternium Argentina S.A.,974.00
HOG.BA,"Harley-Davidson, Inc.","14,940.50"
HL.BA,Hecla Mining Company,"6,511.50"
TGSU2.BA,Transportadora de Gas del Sur S.A.,"5,164.75"
URBN.BA,"Urban Outfitters, Inc.","27,476.50"
PBI.BA,Pitney Bowes Inc.,"6,964.50"
PAMP.BA,Pampa Energ�a S.A.,"2,408.75"
CDE.BA,"Coeur Mining, Inc.","7,487.50"
TECO2.BA,Telecom Argentina S.A.,"1,960.65"
ALUA.BA,Aluar Aluminio Argentino S.A.I.C.,987.00
BBAR.BA,Banco BBVA Argentina S.A.,"4,188.80"
YELP.BA,Yelp Inc.,"24,832.50"
TRIP.BA,"Tripadvisor, Inc.","12,070.00"
TV.BA,"Grupo Televisa, S.A.B.","1,253.50"
XROX.BA,Xerox Holdings Corporation,"15,760.50"
CEPU.BA,Central Puerto S.A.,"1,240.00"
BPAT.BA,Banco Patagonia S.A.,"2,594.50"
WBO.BA,Weibo Corporation,"1,730.00"
FERR.BA,Ferrum S.A. de Cer�mica y Metalurgia,145.00
ADGO.BA,Adecoagro S.A.,"13,119.50"
BYMA.BA,Bolsas y Mercados Argentinos S.A.,343.50
DESP.BA,"Despegar.com, Corp.","17,940.00"
CAPX.BA,Capex S.A.,"7,165.50"
MOLA.BA,Molinos Agro S.A.,"22,541.00"
LOMA.BA,Loma Negra Compa��a Industrial Argentina Sociedad An�nima,"1,853.00"
EDN.BA,Empresa Distribuidora y Comercializadora Norte Sociedad An�nima,"1,101.25"
MOLA5.BA,Molinos Agro S.A.,"18,089.50"
MOLI.BA,Molinos Rio de la Plata S.A.,"4,414.00"
CVH.BA,Cablevisi�n Holding S.A.,"4,869.50"
IRSA.BA,IRSA Inversiones y Representaciones Sociedad An�nima,"1,220.75"
CTIO.BA,Consultatio S.A.,"2,117.50"
SUPV.BA,Grupo Supervielle S.A.,"1,850.35"
TRAN.BA,Compa��a de Transporte de Energ�a El�ctrica en Alta Tensi�n Transener S.A.,"1,782.50"
CRES.BA,"Cresud Sociedad An�nima, Comercial, Inmobiliaria, Financiera y Agropecuaria","1,118.60"
SAMI.BA,S.A. San Miguel A.G.I.C.I. y F.,879.00
PATA.BA,Sociedad An�nima Importadora y Exportadora de la Patagonia,"1,253.50"
HARG.BA,Holcim (Argentina) S.A.,"1,682.00"
METR.BA,MetroGAS S.A.,"1,075.50"
LEDE.BA,Ledesma Sociedad An�nima Agr�cola Industrial,"1,249.50"
GBAN.BA,"Naturgy BAN, S.A.","1,228.00"
INVJ.BA,Inversora Juramento S.A.,516.50
MIRG.BA,"Mirgor Sociedad An�nima, Comercial, Industrial, Financiera, Inmobiliaria y Agropecuaria","19,824.00"
BHIP.BA,Banco Hipotecario S.A.,431.00
VALO.BA,Banco de Valores S.A.,342.50
CECO2.BA,Central Costanera S.A.,396.50
TGNO4.BA,Transportadora de Gas del Norte S.A.,"3,032.50"
CGPA2.BA,Camuzzi Gas Pampeana S.A.,"1,993.00"
AUSO.BA,Autopistas Del Sol SA,"2,988.50"
MTR.BA,Matba Rofex S.A.,"1,994.50"
GCLA.BA,Grupo Clar�n S.A.,"2,077.50"
BOLT.BA,Boldt S.A.,71.80
OEST.BA,Grupo Concesionario del Oeste S.A.,"1,086.00"
RIGO.BA,Rigolleau S.A.,980.00
DGCU2.BA,Distribuidora de Gas Cuyana S.A.,"1,230.50"
MORI.BA,Morixe Hermanos S.A.C.I.,368.50
SEMI.BA,Molinos Juan Semino S.A.,167.50
HAVA.BA,Havanna Holding S.A.,"6,273.00"
RICH.BA,Laboratorios Richmond S.A.C.I.F.,980.00
GAMI.BA,B-Gaming S.A.,228.75
AGRO.BA,Agrometal S.A.I.,60.70
CADO.BA,Carlos Casado S.A.,583.00
GRIM.BA,Grimoldi S.A.,"1,150.00"
INTR.BA,Compa��a Introductora de Buenos Aires S.A.,386.00
FIPL.BA,Fiplasto S.A.,323.00
GCDI.BA,GCDI S.A.,31.75
