Symbol,Name,Price (Intraday)
IRCHO.BA,,"142,000.00"
PLTRD.BA,PALANTIR TECH INC CEDEAR EACH 3,8.15
SN4X.BA,,109.60
DNC2O.BA,,"137,400.00"
GD38.BA,,"65,190.00"
TZX27.BA,,170.00
BPOB7.BA,,"111,000.00"
MGCJO.BA,,"136,200.00"
TZXD5.BA,,136.75
BPY6C.BA,,76.00
AAPDB.BA,APPLE INC CEDEAR(REPR 1/10 SHR),10.90
TZX26.BA,,181.75
NM33Q.BA,,82.10
VSCPO.BA,,"137,000.00"
IRCGD.BA,,105.00
XLEDB.BA,SELECT SECTOR SPDR TRUST CEDEAR,46.20
CEPUB.BA,CENTRAL PUERTO SA,"1,258.00"
SN4X.BA,,109.60
T2X5X.BA,,512.50
NPCAO.BA,,"136,000.00"
VSCLO.BA,,"133,000.00"
CS44D.BA,,100.65
PNXCD.BA,,107.50
S31M5.BA,,105.10
IRCLO.BA,,"136,880.00"
IRCJD.BA,,102.90
MRCMO.BA,,"87,300.00"
QQQD.BA,INVESCO QQQ TRUST CEDEAR EACH 2,24.30
XLED.BA,SELECT SECTOR SPDR TRUST CEDEAR,46.10
YMCVO.BA,,"130,860.00"
TTC7O.BA,,"135,470.00"
TZX27.BA,,170.00
GM.BA,General Motors Company,"10,479.50"
NIO.BA,NIO Inc.,"1,418.00"
HSY.BA,The Hershey Company,"11,840.00"
AMGND.BA,Amgen Inc.,11.50
ARCOD.BA,Arcos Dorados Holdings Inc.,18.00
MA.BA,Mastercard Incorporated,"18,077.50"
MUFGD.BA,"Mitsubishi UFJ Financial Group, Inc.",9.90
YY.BA,JOYY Inc.,"8,150.00"
HUTD.BA,Hut 8 Corp.,80.30
VIST.BA,"Vista Energy, S.A.B. de C.V.","20,609.50"
DOCUD.BA,"DocuSign, Inc.",2.3500
TXARD.BA,Ternium Argentina S.A.,0.7400
PBR.BA,Petr�leo Brasileiro S.A. - Petrobras,"19,551.50"
DOW.BA,Dow Inc.,"12,004.50"
PAMPD.BA,Pampa Energ�a S.A.,1.8100
ABEVD.BA,Ambev S.A.,6.30
HALD.BA,Halliburton Company,16.40
PRIO3.BA,Prio S.A.,"5,249.00"
UAL.BA,"United Airlines Holdings, Inc.","13,109.00"
SPY.BA,SPDR S&P 500 ETF Trust,"36,896.50"
XLFD.BA,SELECT SECTOR SPDR TRUST CEDEAR,20.60
VIST.BA,"Vista Energy, S.A.B. de C.V.","20,609.50"
GED.BA,General Electric Company,20.95
TXARD.BA,Ternium Argentina S.A.,0.7400
ABEVD.BA,Ambev S.A.,6.30
HSY.BA,The Hershey Company,"11,840.00"
ARCOD.BA,Arcos Dorados Holdings Inc.,18.00
STNE.BA,StoneCo Ltd.,"5,329.50"
UAL.BA,"United Airlines Holdings, Inc.","13,109.00"
SATL.BA,Satellogic Inc.,"1,437.00"
XLFD.BA,SELECT SECTOR SPDR TRUST CEDEAR,20.60
SBUXD.BA,Starbucks Corporation,6.68
PRIO3.BA,Prio S.A.,"5,249.00"
HALD.BA,Halliburton Company,16.40
VALED.BA,Vale S.A.,5.65
XD.BA,United States Steel Corporation,12.05
ABNBD.BA,"Airbnb, Inc.",10.55
PANW.BA,"Palo Alto Networks, Inc.","9,206.00"
BBAS3.BA,Banco do Brasil S.A.,"3,233.50"
HMYD.BA,Harmony Gold Mining Company Limited,9.29
MOD.BA,"Altria Group, Inc.",11.65
MSFTD.BA,Microsoft Corporation,15.35
TXND.BA,Texas Instruments Incorporated,41.20
BAD.BA,The Boeing Company,7.96
MGCGO.BA,,111.50
CP34O.BA,,"129,600.00"
TDJ4Z.BA,,88.48
SED.BA,SEA LIMITED CEDEAR EACH 32 REP,2.4800
CRESB.BA,CRESUD S.A.C.I.F.Y.A.,"1,098.00"
CP32O.BA,,"132,990.00"
TZX8X.BA,,152.50
STLAD.BA,STELLANTIS N.V CEDEAR EACH 5 RE,4.0000
MRCUD.BA,,98.50
BMA-D.BA,BANCO MACRO S.A.,6.00
YPFDC.BA,,20.00
MRFCD.BA,,102.45
VSCOO.BA,,"137,030.00"
BPJ5C.BA,,94.25
VSCPD.BA,,106.00
BMYD.BA,BRISTOL-MYERS SQUIBB CO CEDEAR,14.40
SF5X.BA,,111.50
MRCYO.BA,,"134,990.00"
MGCJD.BA,,99.35
GN34D.BA,,27.49
BPOD7.BA,,"97,560.00"
TZXD7.BA,,115.50
BPOA7.BA,,"124,490.00"
TX28.BA,,"1,488.00"
BA37D.BA,,"57,890.00"
PAASD.BA,Pan American Silver Corp.,6.62
LOC3O.BA,,"138,740.00"
PAASD.BA,Pan American Silver Corp.,6.62
LOC3O.BA,,"138,740.00"
MGCJD.BA,,99.35
MRFCD.BA,,102.45
BPOA7.BA,,"124,490.00"
TX28.BA,,"1,488.00"
CRCJD.BA,,103.00
GD46.BA,,"61,890.00"
IRCHD.BA,,105.50
BMYD.BA,BRISTOL-MYERS SQUIBB CO CEDEAR,14.40
TWLO.BA,Twilio Inc.,"2,121.00"
TEFO.BA,"Telef�nica, S.A.",703.00
SATLD.BA,Satellogic Inc.,1.1400
PSXD.BA,Phillips 66,25.75
DOCU.BA,"DocuSign, Inc.","3,297.00"
WBA.BA,"Walgreens Boots Alliance, Inc.","5,480.00"
UNP.BA,Union Pacific Corporation,"15,334.50"
SPOTD.BA,Spotify Technology S.A.,12.15
CAAP.BA,Corporaci�n Am�rica Airports S.A.,"89,824.00"
BYMAD.BA,Bolsas y Mercados Argentinos S.A.,0.2600
TMD.BA,Toyota Motor Corporation,14.25
AAPLD.BA,Apple Inc.,10.70
NFLXD.BA,"Netflix, Inc.",14.50
VD.BA,Visa Inc.,15.35
NU.BA,Nu Holdings Ltd.,"8,716.00"
ETSY.BA,"Etsy, Inc.","4,948.50"
UNP.BA,Union Pacific Corporation,"15,334.50"
PSXD.BA,Phillips 66,25.75
DOCU.BA,"DocuSign, Inc.","3,297.00"
CAAP.BA,Corporaci�n Am�rica Airports S.A.,"89,824.00"
BIOX.BA,Bioceres Crop Solutions Corp.,"15,211.50"
WBA.BA,"Walgreens Boots Alliance, Inc.","5,480.00"
ZM.BA,"Zoom Video Communications, Inc.","1,693.00"
BYMAD.BA,Bolsas y Mercados Argentinos S.A.,0.2600
SONYD.BA,Sony Group Corporation,10.10
AVGOD.BA,Broadcom Inc.,41.95
NFLXD.BA,"Netflix, Inc.",14.50
VD.BA,Visa Inc.,15.35
IWMD.BA,ISHARES TRUST CEDEAR EACH 10 RE,20.75
HUT.BA,Hut 8 Corp.,"101,337.50"
AAPLD.BA,Apple Inc.,10.70
TMD.BA,Toyota Motor Corporation,14.25
PANWD.BA,"Palo Alto Networks, Inc.",6.60
OXYD.BA,Occidental Petroleum Corporation,12.80
NU.BA,Nu Holdings Ltd.,"8,716.00"
ARKKD.BA,ARK ETF TRUST CEDEAR EACH 10 RE,4.4700
BITFD.BA,Bitfarms Ltd.,12.95
OXY.BA,Occidental Petroleum Corporation,"17,049.00"
GSD.BA,"The Goldman Sachs Group, Inc.",36.00
CSCOD.BA,"Cisco Systems, Inc.",9.88
DISND.BA,The Walt Disney Company,8.38
SHOPD.BA,Shopify Inc.,0.6030
AALD.BA,American Airlines Group Inc.,5.59
MU.BA,"Micron Technology, Inc.","35,660.50"
MRVL.BA,"Marvell Technology, Inc.","6,741.50"
XLE.BA,The Select Sector SPDR Trust - The Energy Select Sector SPDR Fund,"61,634.50"
MAD.BA,Mastercard Incorporated,13.35
XOMD.BA,Exxon Mobil Corporation,11.50
MDLZ.BA,MONDELEZ INTL INC CEDEAR EACH 1,"5,921.50"
